id,name,control_type,feature_type,inactive,make,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1580847086,Highland Park Lake Point Shelter,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/Highland_Park_Lake_Point_Shelter.jpg,Highland Park,7,11,42003980100,2,11,5,3-9,40.48014746,-79.90987414
1822184279,Highland Park N St Clair St Tennis Courts,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Highland_Park_N_St_Clair_St_Tennis_Courts.jpg,Highland Park,7,11,42003110200,2,11,5,3-9,40.47892805,-79.91893469
1970814136,Highland Park OLEA,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/Highland_Park_OLEA.jpg,Highland Park,7,11,42003980100,2,11,5,3-9,40.48318115,-79.91130821
1781536716,Highland Park Reservoir,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Highland_Park_Reservoir.jpg,Highland Park,7,11,42003980100,2,11,5,3-9,40.48145704,-79.91388305
473521065,Highland Park Service Building,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Highland_Park_Service_Building.jpg,Highland Park,7,11,42003980100,2,11,5,3-9,40.47916394,-79.91344158
638639284,Highland Park Super Playground,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Highland_Park_Super_Playground.jpg,Highland Park,7,11,42003980100,2,11,5,3-9,40.4806417,-79.91806973
1065587438,Highland Park Tennis Courts,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Highland_Park_Tennis_Courts.jpg,Highland Park,9,11,42003980100,2,11,5,3-9,40.47382935,-79.91092186
817843049,Jefferson Playground,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Jefferson_Playground.jpg,Central Northside,6,25,42003250300,1,25,1,1-21,40.4593419,-80.01449532
1510792189,Joe Natoli Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Joe_Natoli_Park.jpg,Morningside,7,10,42003101400,2,10,5,3-7,40.48457731,-79.92587821
1054169460,Joe Natoli Spray,,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Joe_Natoli_Spray.jpg,Morningside,7,10,42003101400,2,10,5,3-7,40.48469129,-79.92599704
